track_id,track_title,sc_url,ep_title,ep_url,play_count,like_count,engagement_rate,sutra,lyrics_title,lyrics_id,playlist_count,in_airtable_import_set,playlist_name,playlist_url
2125306869,[26] Who Knows Where How Happiness Truly Grows • DUENDE DUB,https://soundcloud.com/bananasutra/26-who-knows-where-how-happiness-truly-grows-duende-dub-26,Who Knows Where How Happiness Truly Grows ☰ GROWsutra EPx29,https://soundcloud.com/bananasutra/sets/who-knows-where-how-happiness-truly-grows-growsutra-epx29,175,1,0.571429,GROWsutra,Who Knows Where How Happiness Truly Grows,L-300,1,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2364209978,[27] Truth I Never Knew (Crushing on Bertrand) • KNOWsutra Psychedelick Ragga Mama Circus DUB,https://soundcloud.com/bananasutra/27-truth-i-never-knew-crushing-on-bertrand-knowsutra-psychedelick-ragga-mama-circus-dub-27,Truth I Never Knew (Crushing on Bertrand) • KNOWsutra Acoustic Psychedelick Fusion EPx28,https://soundcloud.com/bananasutra/sets/truth-i-never-knew-knowsutra-epx28,213,4,1.877934,KNOWsutra,Truth I Never Knew (Crushing on Bertrand),L-272,2,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2125306920,[27] Who Knows Where How Happiness Truly Grows • DUENDE DUB,https://soundcloud.com/bananasutra/27-who-knows-where-how-happiness-truly-grows-duende-dub-27,Who Knows Where How Happiness Truly Grows ☰ GROWsutra EPx29,https://soundcloud.com/bananasutra/sets/who-knows-where-how-happiness-truly-grows-growsutra-epx29,184,2,1.086957,GROWsutra,Who Knows Where How Happiness Truly Grows,L-300,1,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2022663616,[2] Serial BLOWERS (now twat?) • DUBsutra,https://soundcloud.com/bananasutra/2-serial-blowers-now-twat-o,Serial BLOWerrr ✰ RAGGA DUBsutra,https://soundcloud.com/bananasutra/sets/serial-blowerrr,272,3,1.102941,,Serial BLOWERS (now twat?),,2,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2075930744,[2] stymy stymy yuck • muse DUB,https://soundcloud.com/bananasutra/2-stymy-stymy-yuck-muse-dub-2,Stymy Stymy Yuck : A Story of Old Bastards - EPx5 VOL.1 - DUBsutra,https://soundcloud.com/bananasutra/sets/stymy-stymy-yuck-a-story-of-old-bastards-epx5-vol1-dubsutra,384,6,1.562500,QUACKsutra,Stymy Stymy Yuck,L-234,6,yes,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2044681276,[3] Question Di Kingdom (2) • RAGGAsutra,https://soundcloud.com/bananasutra/3-question-di-kingdom-2-o,Question di Kingdom ✰ Ragga DUBsutra EPx10,https://soundcloud.com/bananasutra/sets/question-di-kingdom-ragga-dubsutra-epx10,440,3,0.681818,KNOWsutra,Question Di Kingdom,L-199,4,yes,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2022663600,[3] Serial BLOWerrrs (now Twat?) • psyDUBsutra,https://soundcloud.com/bananasutra/3-serial-blowerrrs-now-twat-o,Serial BLOWerrr ✰ RAGGA DUBsutra,https://soundcloud.com/bananasutra/sets/serial-blowerrr,175,1,0.571429,,Serial BLOWerrrs (now Twat?),,3,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2077764104,[3] Shush it Up Yo (Please) • DUBsutra,https://soundcloud.com/bananasutra/3-shush-it-up-yo-please-dubsutra-3,How to Help a Bible Bro Grow Up · In the name of Religious Freedom,https://soundcloud.com/bananasutra/sets/how-to-help-a-bible-bro-grow-up-in-the-name-of-religious-freedom,243,2,0.823045,,Shush it Up Yo (Please),,4,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2075937348,[3] Stymy Stymy Yuck • Hope Fiddle DUBgrass,https://soundcloud.com/bananasutra/3-stymy-stymy-yuck-o-hope-jazz,Stymy Stymy Yuck : A Story of Old Bastards - EPx5 VOL.1 - DUBsutra,https://soundcloud.com/bananasutra/sets/stymy-stymy-yuck-a-story-of-old-bastards-epx5-vol1-dubsutra,233,3,1.287554,QUACKsutra,Stymy Stymy Yuck,L-234,3,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2044681272,[4] Question Di Kingdom (1) • RAGGAsutrawav,https://soundcloud.com/bananasutra/4-question-di-kingdom-1-o,Question di Kingdom ✰ Ragga DUBsutra EPx10,https://soundcloud.com/bananasutra/sets/question-di-kingdom-ragga-dubsutra-epx10,460,4,0.869565,KNOWsutra,Question Di Kingdom,L-199,3,yes,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
