Title,Duration,YouTube URL,Author,Video ID
"So, What Is Racism? 🍌🐒 KNOWsutra Banjo Booya Folk Harmonica Blues",3:06,https://www.youtube.com/watch?v=nc0XVMxzm0A&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=22&pp=iAQBsAgC,bananasutra 🎶,V-022
Rainbows In My Cloud 🌈 Maya Angelou inspired GLOWsutra Psychedelic Banjo Folk Song,3:55,https://www.youtube.com/watch?v=kBibWJ92Xx4&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=23&pp=iAQBsAgC,bananasutra 🎶,V-023
"Oxytocin (Dopamine, Serotonin)• EPx2 FLOWsutra Psychedelic Neurotransmitters Mnemonics LOFI 🎼🎧",6:12,https://www.youtube.com/watch?v=0jChJY2K85o&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=24&pp=iAQBsAgC,bananasutra 🎶,V-024
“If We Had But(t) The Truth” 🍌🌪️ or why the #newworld order is goddamn stoopid (I did the math 🥜),3:01,https://www.youtube.com/watch?v=9St0sDMDmKc&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=25&pp=iAQBsAgC,bananasutra 🎶,V-025
Bloom Past Doom (Apes Gone Wrong Series) EPx2 • BLOWsutra Revolution Ring Conscious Folk Dream 🐒📺,5:20,https://www.youtube.com/watch?v=5CY5-CkYn0U&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=26&pp=iAQBsAgC,bananasutra 🎶,V-026
This is What Dissent Looks Like Now⁉️BLOWsutra (Revolution Ring) Conscious Gipsy LoFi Questions 🎧💬,3:59,https://www.youtube.com/watch?v=7NM-uEYWuGo&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=27&pp=iAQBsAgC,bananasutra 🎶,V-027
“Ignoramus Divine”—a very real surreal burlesque fascist duck danger story song #donaldsucks (a$$),2:52,https://www.youtube.com/watch?v=XQwk7HYumoc&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=28&pp=iAQBsAgC,bananasutra 🎶,V-028
"If We Had But(t) The Truth… BUT NOPE, because the Minneapolis witnesses are being arrested by #ice",3:00,https://www.youtube.com/watch?v=rJyF90xThww&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=29&pp=iAQBsAgC,bananasutra 🎶,V-029
If We Had But(t) The Truth 🐶💬 BLOWsutra (Censored) Gipsy Psychedelia Accordion Cello Indie FOLK,3:03,https://www.youtube.com/watch?v=8cxoRqEu8-s&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=30&pp=iAQBsAgC,bananasutra 🎶,V-030
If We Had But(t) The Truth ☝️ BLOWsutra (Censored) Jazzy Psychedelic Hip Trip Bleep Hop LOFI Therapy,2:28,https://www.youtube.com/watch?v=fsDmpI9PaTo&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=31&pp=iAQBsAgC,bananasutra 🎶,V-031
Rainbows in the Clouds 🌈 GLOWsutra BLUES + LOFI EPx2 ~ a gratitude song inspired by Maya Angelou 🎼,4:14,https://www.youtube.com/watch?v=tJ8IbqOMNdE&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=32&pp=iAQBsAgC,bananasutra 🎶,V-032
"The Atheist Tango 📺💡GROWsutra (God, Etc.) Burlesque Jazz • Lyrics inspired by Ralph Waldo Emerson",3:02,https://www.youtube.com/watch?v=BYwCM6-T1fw&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=33&pp=iAQBsAgC,bananasutra 🎶,V-033
Revolution’s Lit (Bloom Past Doom) • BLOWsutra Murica (Apes Gone Wrong) BANJO FOLK Revolution Ring 🪕,3:30,https://www.youtube.com/watch?v=qP916JXz9H8&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=34&pp=iAQBsAgC,bananasutra 🎶,V-034
"It’s an Ethical Paradox, an Oxymoron Maze • EPx2 • KNOWsutra (Bertrand Knows) Burlesque Gipsy Jazz",8:11,https://www.youtube.com/watch?v=0B6HxsNkgf8&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=35&pp=iAQBsAgC,bananasutra 🎶,V-035
Donkeys Years (3/3) • SHOW+GLOWsutra Fanana Club Gipsy Cabaret Indie Cello LOFI 🎻🪩✨,2:14,https://www.youtube.com/watch?v=UI1Q3cAawvY&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=36&pp=iAQBsAgC,bananasutra 🎶,V-036
Donkeys Years (2/3) • SHOW+GLOWsutra Fanana Club Gipsy Cabaret Indie LOFI (thank you song),2:36,https://www.youtube.com/watch?v=rRywyiRGUuc&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=37&pp=iAQBsAgC,bananasutra 🎶,V-037
“This is what #dissent looks like now” 🎧 BLOWsutra Revolution Ring Conscious LOFI Dream 💭,1:01,https://www.youtube.com/watch?v=6nUPPenhTEE&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=38&pp=iAQBsAgC,bananasutra 🎶,V-038
Donkeys Years (1/3) • SHOW+GLOWsutra Fanana Club Gipsy Flamenco Cabaret Dub INDIE 📺👯‍♀️,3:12,https://www.youtube.com/watch?v=orlgoJQ358s&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=39&pp=iAQBsAgC,bananasutra 🎶,V-039
Shady Fools (Oh Can’t You See?) • BLOWsutra (Egos Gone Loco) Burlesque Rock + Gipsy LoFi EPx2 🎧,6:48,https://www.youtube.com/watch?v=WxPns2hz6e4&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=40&pp=iAQBsAgC,bananasutra 🎶,V-040
"I Did the Math, and Everything is Stupid 🤗🍌 SHOWsutra Post-Psy-Punk Absurd Burlesque ROCK",7:26,https://www.youtube.com/watch?v=-EwhIlrKQc4&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=41&pp=iAQBsAgC,bananasutra 🎶,V-041
"Angel Eyes, Devil’s Lies 🎡 BLOWsutra (FOTUS Circus) LoFi Trip Hop Burlesque Night",3:39,https://www.youtube.com/watch?v=JWPsFEmH2i8&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=42&pp=iAQBsAgC,bananasutra 🎶,V-042
"I Did the Math, and Everything is Stupid 🍌🎸 SHOWsutra Peanut’s Fanana Club, psySnoopy JAZZ Edition",4:01,https://www.youtube.com/watch?v=f1-RYzclzgE&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=43&pp=iAQBsAgC,bananasutra 🎶,V-043
"Universal Currency • DEFY EP (Vol.2, Song 3/3) • BLOWsutra Revolution Ring Burlesque JAZZ 👐",3:12,https://www.youtube.com/watch?v=L_GWWoHetlc&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=44&pp=iAQBsAgC,bananasutra 🎶,V-044
Un Secret de Polichinelle 🎭🍟 French BLOWsutra Burlesque Musette Chanson,4:36,https://www.youtube.com/watch?v=KfKAkPfvvcg&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=45&pp=iAQBsAgC,bananasutra 🎶,V-045
Everybody Knows 🐈‍⬛ 🎹 KNOWsutra (Peace Not War) Indie World Fusion Piano Chanson JAZZ 🎵,3:39,https://www.youtube.com/watch?v=lkMb7XxbsUE&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=46&pp=iAQBsAgC,bananasutra 🎶,V-046
"Not Bad, Friendo 🪐 SHOWsutra Infinite Psychedelic Galaxy Wink to the Burlesque Post-Punk Universe ✨",4:17,https://www.youtube.com/watch?v=l2Ui8EYdLj0&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=47&pp=iAQBsAgC,bananasutra 🎶,V-047
Ordo Amoris In Decay 🕊️🎻 BLOWsutra (Apes Gone Wrong) Psychedelic Indie Cello World Peace Chanson 🍷🎶,3:27,https://www.youtube.com/watch?v=315UmHBAQGk&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=48&pp=iAQBsAgC,bananasutra 🎶,V-048
"Sing Your Own Gospel • GROWsutra (God, Etc.) Gipsy Piano Burlesque JAZZ Edition 🎼🎧",2:55,https://www.youtube.com/watch?v=rwlRylvqrMk&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=49&pp=iAQBsAgC,bananasutra 🎶,V-049
Okie Dokie (Not It’s Not) • BLOWsutra (Apes Gone Wrong) • Burlesque Trip Hop(e) LOFI 🌀📺 1 min cut,1:01,https://www.youtube.com/watch?v=R0M4ZO0NEW8&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=50&pp=iAQBsAgC,bananasutra 🎶,V-050
It's an Ethical Paradox • EPx2 • KNOWsutra (Bertrand Knows) Gipsy Burlesque JAZZ 🦉💭,8:10,https://www.youtube.com/watch?v=MFOWBYybGD0&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=51&pp=iAQBsAgC,bananasutra 🎶,V-051
"Sing Your Own Gospel • GROWsutra (God, Etc.) Magic Wand Gospel BLUES 🙌🎵",2:48,https://www.youtube.com/watch?v=NvTo-T8FN-k&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=52&pp=iAQBsAgC,bananasutra 🎶,V-052
Awe is Mighty - EPx2 inspired by Mary Oliver - GLOWsutra Poet(ry) Indie Lullaby For Adults,6:39,https://www.youtube.com/watch?v=OUeeMQn60H8&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=53&pp=iAQBsAgC,bananasutra 🎶,V-053
Come Waddle with Me (Penguins in Shoes) • SHOWsutra Cheeky Absurd Chanson inspired by Anatole France,5:38,https://www.youtube.com/watch?v=WVHL46QK7H8&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=54&pp=iAQBsAgC,bananasutra 🎶,V-054
"Seminal Bollocks 🪗✨ Holy Merry GROWsutra (God, etcetera) Psychedelic Accordion Chanson Daze Dream",3:50,https://www.youtube.com/watch?v=d_XK7uChskU&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=55&pp=iAQBsAgC,bananasutra 🎶,V-055
"Self-Remembering… because now and then, everyone needs a loving lullaby, to flow kinder deeper ✨",3:54,https://www.youtube.com/watch?v=kowt-gyVdoI&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=56&pp=iAQBsAgC,bananasutra 🎶,V-056
“Freedom to Lie is the New Human Right” 👩🏻‍⚖️🍔 BLOWsutra (Revolt Now) Clap Along Song #fascismo,3:00,https://www.youtube.com/watch?v=peuindTHHSQ&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=57&pp=iAQBsAgC,bananasutra 🎶,V-057
