video_id,video_title,content_type,best_lyrics_id,best_match_title,match_score,confidence,auto_applied,yt_url,CORRECT_LYRICS_ID,ytvideo_in_app,CORRECT_ytvideo_in_app,format,CORRECT_format
41uCgo4oojE,They Call Her Wild (All She Knows) • FLOWsutra NeoSoul Piano Blues Indie Peace Prayer 🕊️ #makeawish,Music Video,L-260,They Call Her Wild (But She's Just Free),73.52941176470588,MEDIUM,CURATOR,https://www.youtube.com/watch?v=41uCgo4oojE,L-260,checked,TRUE,16:9,16:9
DeWUqaP4WNY,T-R-U-T-H • KNOWsutra (Naked Truth) Alternative Pop Punk Rock 🎸⚡️,Music Video,L-238,T-R-U-T-H,100.0,HIGH,CURATOR,https://www.youtube.com/watch?v=DeWUqaP4WNY,L-238,checked,TRUE,16:9,16:9
3MS-VsdJ6QA,"Curious Like a Kiss • FLOWsutra (Wet, My Friend) Gipsy Trip Hop LoFi Fun 😘",Music Video,L-54,Curious Like A Kiss,94.73684210526316,HIGH,CURATOR,https://www.youtube.com/watch?v=3MS-VsdJ6QA,L-54,checked,TRUE,16:9,16:9
Ue5ET_bl5nM,Possum Scrotum • EPx2 • GROWsutra (Dare to Care) Murica Burlesque Vaudeville Fair Question Song 🥫🇺🇸,EP Compilation,L-193,Possum Scrotum,100.0,HIGH,CURATOR,https://www.youtube.com/watch?v=Ue5ET_bl5nM,L-193,checked,TRUE,16:9,16:9
