playlist_name,playlist_url,sutra,genres,track_count,total_plays,total_likes,duration_total,artwork_url,artwork_lg_url,sc_playlist_type,scplaylist_in_app,songbook_id
FLOWsutra : WET (my friend),https://soundcloud.com/bananasutra/sets/flowsutra-wet-my-friend,FLOWsutra,"BLUES,BURLESQUE,DUB,JAZZ",17,6110,95,0:56:23,https://i1.sndcdn.com/artworks-lcLXcYSTLwU1vVWx-8umDBA-t500x500.jpg,https://i1.sndcdn.com/artworks-lcLXcYSTLwU1vVWx-8umDBA-t1080x1080.jpg,sutra,checked,G-05-WET
FLOWsutra where time is space,https://soundcloud.com/bananasutra/sets/sutraflow,FLOWsutra,"BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI",66,37949,470,3:28:41,https://i1.sndcdn.com/artworks-PorYyvyZr3pl4ezD-Qz561g-t500x500.jpg,https://i1.sndcdn.com/artworks-PorYyvyZr3pl4ezD-Qz561g-t1080x1080.jpg,sutra (all),,
FOLKsutra,https://soundcloud.com/bananasutra/sets/folksutra,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI",139,50165,532,7:34:30,https://i1.sndcdn.com/artworks-6tM0cjHYVyEyl5Gu-Bhop9A-t500x500.jpg,https://i1.sndcdn.com/artworks-6tM0cjHYVyEyl5Gu-Bhop9A-t1080x1080.jpg,genre (all),,
FOLKsutra (Best Of),https://soundcloud.com/bananasutra/sets/folksutra-best-of,,FOLK,46,40216,413,2:26:46,https://i1.sndcdn.com/artworks-CV0ODQOztCTXkFAF-1T2ODw-t500x500.jpg,https://i1.sndcdn.com/artworks-CV0ODQOztCTXkFAF-1T2ODw-t1080x1080.jpg,genre (best of),,G-00-FOLK
FOTUS CIRCUS Playlist An American Freaks Show,https://soundcloud.com/bananasutra/sets/fotus-circus-playlist-an-3,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,JAZZ,LOFI,MANTRA,ROCK",42,12624,92,2:15:29,https://i1.sndcdn.com/artworks-e9LS1yE2xOsiJ46m-ydWbdw-t500x500.jpg,https://i1.sndcdn.com/artworks-e9LS1yE2xOsiJ46m-ydWbdw-t1080x1080.jpg,collection,,
FRENCHsutra oui oui · sacrebleu,https://soundcloud.com/bananasutra/sets/sutrafrench,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA",121,64034,629,6:29:45,https://i1.sndcdn.com/artworks-Ni4BbsKypzQtXkzs-AElX6Q-t500x500.jpg,https://i1.sndcdn.com/artworks-Ni4BbsKypzQtXkzs-AElX6Q-t1080x1080.jpg,collection,,
GLOWsutra : POET(ry),https://soundcloud.com/bananasutra/sets/glowsutra-poet-ry,GLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,INDIE,JAZZ,LOFI,MANTRA",16,10504,133,0:54:07,https://i1.sndcdn.com/artworks-UVBWmXWPLc9H0Ov3-HwlYIg-t500x500.jpg,https://i1.sndcdn.com/artworks-UVBWmXWPLc9H0Ov3-HwlYIg-t1080x1080.jpg,sutra,checked,G-06-POET
GLOWsutra : RAINBOWS (in my clouds),https://soundcloud.com/bananasutra/sets/glowsutra-rainbows-in-my,GLOWsutra,"BANJO,BLUES,DUB,FOLK,INDIE,JAZZ,LOFI",14,14252,177,0:41:49,https://i1.sndcdn.com/artworks-57vIPCGJ4OIaDUaa-UFslNg-t500x500.jpg,https://i1.sndcdn.com/artworks-57vIPCGJ4OIaDUaa-UFslNg-t1080x1080.jpg,sutra,checked,G-06-CLOU
GLOWsutra where gratitude feeds,https://soundcloud.com/bananasutra/sets/sutraglow,GLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",145,80479,858,7:55:33,https://i1.sndcdn.com/artworks-uL7ay8dUUSSVPybn-wwfjyg-t500x500.jpg,https://i1.sndcdn.com/artworks-uL7ay8dUUSSVPybn-wwfjyg-t1080x1080.jpg,sutra (all),,
GROWsutra : DARE (to care),https://soundcloud.com/bananasutra/sets/growsutra-dare-to-care,GROWsutra,"BANJO,BLUES,DUB,FOLK,INDIE,LOFI,MANTRA",18,11837,144,0:58:50,https://i1.sndcdn.com/artworks-pWOrhsGFerHV4tjv-qenNsg-t500x500.jpg,https://i1.sndcdn.com/artworks-pWOrhsGFerHV4tjv-qenNsg-t1080x1080.jpg,sutra,checked,G-04-DARE
